Country,Code,Year,Life expectancy,GDP Per Capita,Population,Continent
Afghanistan,AFG,2015,63.377,1928,34413603,Asia
Albania,ALB,2015,78.025,10032,2890524,Europe
Algeria,DZA,2015,76.09,14004,39728020,Africa
Angola,AGO,2015,59.398,8689,27884380,Africa
Argentina,ARG,2015,76.068,19502,43075416,South America
Armenia,ARM,2015,74.467,10042,2925559,Asia
Australia,AUS,2015,82.794,48357,23932499,Oceania
Austria,AUT,2015,81.182,41294,8678667,Europe
Azerbaijan,AZE,2015,72.266,17460,9622741,Asia
Bahrain,BHR,2015,76.762,40483,1371853,Asia
Bangladesh,BGD,2015,71.514,3402,156256287,Asia
Barbados,BRB,2015,78.801,11849,285327,North America
Belarus,BLR,2015,73.652,18136,9439424,Europe
Belgium,BEL,2015,80.969,38569,11287931,Europe
Benin,BEN,2015,60.608,2055,10575962,Africa
Bolivia,BOL,2015,70.277,6200,10869732,South America
Bosnia and Herzegovina,BIH,2015,76.865,9495,3429362,Europe
Botswana,BWA,2015,67.338,14805,2120716,Africa
Brazil,BRA,2015,74.994,15826,204471759,South America
Bulgaria,BGR,2015,74.584,16373,7199739,Europe
Burkina Faso,BFA,2015,59.919,1450,18110616,Africa
Burundi,BDI,2015,60.123,694,10160034,Africa
Cambodia,KHM,2015,68.637,3086,15521435,Asia
Cameroon,CMR,2015,57.583,2778,23298376,Africa
Canada,CAN,2015,82.026,43619,36026668,North America
Cape Verde,CPV,2015,72.117,6266,524740,Africa
Central African Republic,CAF,2015,50.881,576,4493171,Africa
Chad,TCD,2015,53.137,2384,14110971,Africa
Chile,CHL,2015,79.646,21589,17969356,South America
China,CHN,2015,75.928,12244,1406847868,Asia
Colombia,COL,2015,76.531,13218,47520667,South America
Comoros,COM,2015,63.471,1696,777435,Africa
Congo,COG,2015,63.097,6272,4856093,Africa
Costa Rica,CRI,2015,79.565,13677,4847805,North America
Cote d'Ivoire,CIV,2015,56.065,3218,23226148,Africa
Croatia,HRV,2015,77.892,19698,4232874,Europe
Cuba,CUB,2015,78.561,7889,11324777,North America
Cyprus,CYP,2015,80.35,24963,1160987,Europe
Czechia,CZE,2015,78.692,28194,10601390,Europe
Democratic Republic of Congo,COD,2015,59.254,836,76244532,Africa
Denmark,DNK,2015,80.475,44635,5688695,Europe
Djibouti,DJI,2015,64.136,2941,913998,Africa
Dominica,DMA,2015,74.194,9319,71175,North America
Dominican Republic,DOM,2015,73.241,13762,10281675,North America
Ecuador,ECU,2015,76.143,10905,16212022,South America
Egypt,EGY,2015,71.302,11159,92442549,Africa
El Salvador,SLV,2015,72.412,8109,6325121,North America
Equatorial Guinea,GNQ,2015,57.359,37822,1168575,Africa
Estonia,EST,2015,77.783,24493,1315330,Europe
Eswatini,SWZ,2015,55.359,7969,1104038,Africa
Ethiopia,ETH,2015,65.048,1553,100835453,Africa
Finland,FIN,2015,81.196,36836,5481128,Europe
France,FRA,2015,82.224,36827,64453194,Europe
Gabon,GAB,2015,64.913,18389,1947690,Africa
Gambia,GMB,2015,60.91,1786,2085860,Africa
Georgia,GEO,2015,72.973,10603,4024180,Asia
Germany,DEU,2015,80.77,44293,81787411,Europe
Ghana,GHA,2015,62.772,3809,27849203,Africa
Greece,GRC,2015,81.548,22442,10659737,Europe
Guatemala,GTM,2015,73.25,7138,16252425,North America
Guinea,GIN,2015,59.598,1364,11432096,Africa
Guinea-Bissau,GNB,2015,56.959,1393,1737207,Africa
Haiti,HTI,2015,62.485,1742,10695540,North America
Honduras,HND,2015,74.495,4706,9112904,North America
Hong Kong,HKG,2015,84.043,47777,7185992,Asia
Hungary,HUN,2015,76.006,22788,9777925,Europe
Iceland,ISL,2015,82.481,39727,330237,Europe
India,IND,2015,68.607,5794,1310152392,Asia
Indonesia,IDN,2015,70.768,10484,258383257,Asia
Iran,IRN,2015,75.796,16253,78492208,Asia
Iraq,IRQ,2015,69.929,13014,35572269,Asia
Ireland,IRL,2015,81.344,54278,4652420,Europe
Israel,ISR,2015,82.34,30954,7978496,Asia
Italy,ITA,2015,82.828,33118,60578489,Europe
Jamaica,JAM,2015,74.098,7024,2891024,North America
Japan,JPN,2015,83.879,37031,127985139,Asia
Jordan,JOR,2015,74.078,11519,9266573,Asia
Kazakhstan,KAZ,2015,71.319,23850,17572010,Asia
Kenya,KEN,2015,64.798,3046,47878339,Africa
Kuwait,KWT,2015,75.13,71354,3835588,Asia
Kyrgyzstan,KGZ,2015,70.876,4754,5959126,Asia
Laos,LAO,2015,66.546,5559,6741160,Asia
Latvia,LVA,2015,74.733,21488,1997675,Europe
Lebanon,LBN,2015,78.768,12953,6532681,Asia
Lesotho,LSO,2015,51.038,2710,2059011,Africa
Liberia,LBR,2015,62.269,865,4472229,Africa
Libya,LBY,2015,72.121,8514,6418315,Africa
Lithuania,LTU,2015,74.923,23889,2931872,Europe
Luxembourg,LUX,2015,81.636,55972,566741,Europe
Madagascar,MDG,2015,65.539,1360,24234080,Africa
Malawi,MWI,2015,61.953,1124,16745305,Africa
Malaysia,MYS,2015,75.461,22432,30270965,Asia
Mali,MLI,2015,57.509,1553,17438772,Africa
Malta,MLT,2015,81.896,28700,433559,Europe
Mauritania,MRT,2015,63.936,3424,4046304,Africa
Mauritius,MUS,2015,74.5,18322,1259457,Africa
Mexico,MEX,2015,74.904,16096,121858251,North America
Moldova,MDA,2015,71.478,5775,4070705,Europe
Mongolia,MNG,2015,69.111,12398,2998433,Asia
Montenegro,MNE,2015,76.452,17249,626957,Europe
Morocco,MAR,2015,75.726,8001,34663608,Africa
Mozambique,MOZ,2015,57.206,1103,27042001,Africa
Myanmar,MMR,2015,65.81,5021,52680724,Asia
Namibia,NAM,2015,62.119,9462,2314901,Africa
