Rented Bike Count,Temperature,Humidity(%),Wind speed (m/s),Visibility (10m),Rainfall(mm),Snowfall (cm),Seasons
254,-5.2,37,2.2,2000,0,0,Winter
204,-5.5,38,0.8,2000,0,0,Winter
173,-6,39,1,2000,0,0,Winter
107,-6.2,40,0.9,2000,0,0,Winter
78,-6,36,2.3,2000,0,0,Winter
100,-6.4,37,1.5,2000,0,0,Winter
181,-6.6,35,1.3,2000,0,0,Winter
460,-7.4,38,0.9,2000,0,0,Winter
930,-7.6,37,1.1,2000,0,0,Winter
490,-6.5,27,0.5,1928,0,0,Winter
339,-3.5,24,1.2,1996,0,0,Winter
360,-0.5,21,1.3,1936,0,0,Winter
449,1.7,23,1.4,2000,0,0,Winter
451,2.4,25,1.6,2000,0,0,Winter
447,3,26,2,2000,0,0,Winter
463,2.1,36,3.2,2000,0,0,Winter
484,1.2,54,4.2,793,0,0,Winter
555,0.8,58,1.6,2000,0,0,Winter
862,0.6,66,1.4,2000,0,0,Winter
600,0,77,1.7,2000,0,0,Winter
426,-0.3,79,1.5,1913,0,0,Winter
405,-0.8,81,0.8,1687,0,0,Winter
398,-0.9,83,1.5,1380,0,0,Winter
323,-1.3,84,1,1265,0,0,Winter
328,-1.8,87,1.1,994,0,0,Winter
308,-2.2,86,0.6,990,0,0,Winter
262,-2.9,86,1.5,1256,0,0,Winter
167,-3.5,81,2.2,1221,0,0,Winter
89,-3.8,79,2,1167,0,0,Winter
79,-4,79,1.5,1202,0,0,Winter
70,-4.3,82,2.1,1178,0,0,Winter
146,-4.4,81,2.5,1276,0,0,Winter
219,-4.2,79,2.1,1436,0,0,Winter
328,-2.9,68,1.6,1487,0,0,Winter
334,-0.4,57,1.6,1309,0,0,Winter
388,1.9,49,1.8,1406,0,0,Winter
479,4.3,41,1.3,1666,0,0,Winter
606,6,36,1.8,1780,0,0,Winter
611,7.3,35,1.3,1955,0,0,Winter
589,7.6,41,2.3,1953,0,0,Winter
618,6.4,48,2.6,1945,0,0,Winter
572,6,51,2.5,1891,0,0,Winter
489,5.5,53,1.5,1697,0,0,Winter
385,5,52,2.3,1666,0,0,Winter
359,4.6,51,1.2,1585,0,0,Winter
377,4.1,55,1.2,1448,0,0,Winter
354,3.5,54,1.5,1446,0,0,Winter
